,DataSetName,NominalEncoder,OrdinalEncoder,Score
417,audiology,BaseNEncoder,FrequencyEncoder,0.19047619047619047
418,audiology,BaseNEncoder,TargetEncoder,0.15873015873015872
419,audiology,BaseNEncoder,HashingEncoder,0.1746031746031746
420,audiology,HelmertEncoder,JamesSteinEncoder,0.30158730158730157
421,audiology,HelmertEncoder,BaseNEncoder,0.3492063492063492
422,audiology,HelmertEncoder,HelmertEncoder,0.30158730158730157
423,audiology,HelmertEncoder,SumEncoder,0.31746031746031744
424,audiology,HelmertEncoder,OneHotEncoder,0.3333333333333333
425,audiology,HelmertEncoder,LabelEncoder,0.31746031746031744
426,audiology,HelmertEncoder,BinaryEncoder,0.3492063492063492
427,audiology,HelmertEncoder,FrequencyEncoder,0.30158730158730157
428,audiology,HelmertEncoder,TargetEncoder,0.30158730158730157
429,audiology,HelmertEncoder,HashingEncoder,0.2857142857142857
430,audiology,SumEncoder,JamesSteinEncoder,0.31746031746031744
431,audiology,SumEncoder,BaseNEncoder,0.3333333333333333
432,audiology,SumEncoder,HelmertEncoder,0.2857142857142857
433,audiology,SumEncoder,SumEncoder,0.30158730158730157
434,audiology,SumEncoder,OneHotEncoder,0.30158730158730157
435,audiology,SumEncoder,LabelEncoder,0.3333333333333333
436,audiology,SumEncoder,BinaryEncoder,0.3333333333333333
437,audiology,SumEncoder,FrequencyEncoder,0.30158730158730157
438,audiology,SumEncoder,TargetEncoder,0.31746031746031744
439,audiology,SumEncoder,HashingEncoder,0.3492063492063492
440,audiology,OneHotEncoder,JamesSteinEncoder,0.31746031746031744
441,audiology,OneHotEncoder,BaseNEncoder,0.3492063492063492
442,audiology,OneHotEncoder,HelmertEncoder,0.2857142857142857
443,audiology,OneHotEncoder,SumEncoder,0.30158730158730157
444,audiology,OneHotEncoder,OneHotEncoder,0.2857142857142857
445,audiology,OneHotEncoder,LabelEncoder,0.3492063492063492
446,audiology,OneHotEncoder,BinaryEncoder,0.3492063492063492
447,audiology,OneHotEncoder,FrequencyEncoder,0.30158730158730157
448,audiology,OneHotEncoder,TargetEncoder,0.31746031746031744
449,audiology,OneHotEncoder,HashingEncoder,0.3333333333333333
